,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,1
1074,0
1075,1
1076,0
1077,0
1078,0
1079,0
1080,1
1081,0
1082,1
1083,1
1084,1
1085,1
1086,1
1087,0
1088,1
1089,0
1090,1
1091,0
1092,0
1093,1
1094,0
1095,1
1096,1
1097,1
1098,1
1099,0
1100,0
1101,1
1102,0
1103,0
1104,1
1105,1
1106,0
1107,0
1108,1
1109,1
1110,0
1111,0
1112,1
1113,1
1114,1
1115,1
1116,1
1117,0
1118,0
1119,1
1120,1
1121,1
1122,0
1123,0
1124,1
1125,0
1126,1
1127,0
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,0
1135,1
1136,0
1137,0
1138,0
1139,1
1140,1
1141,0
1142,1
1143,1
1144,0
1145,0
1146,0
1147,0
1148,0
1149,1
1150,1
1151,0
1152,1
1153,1
1154,1
1155,0
1156,0
1157,0
1158,1
1159,0
1160,1
1161,0
1162,1
1163,0
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,0
1171,1
1172,0
1173,1
1174,0
1175,1
1176,0
1177,0
1178,0
1179,1
1180,0
1181,1
1182,0
1183,0
1184,0
1185,0
1186,0
1187,1
1188,0
1189,0
1190,1
1191,1
1192,1
1193,0
1194,0
1195,0
1196,0
1197,1
1198,1
1199,1
1200,1
1201,1
1202,0
1203,1
1204,1
1205,1
1206,0
1207,1
1208,0
1209,1
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,1
1217,0
1218,0
1219,0
1220,1
1221,0
1222,0
1223,0
1224,1
1225,0
1226,0
1227,1
1228,1
1229,1
1230,0
1231,1
1232,1
1233,1
1234,0
1235,1
1236,1
1237,1
1238,1
1239,1
1240,0
1241,0
1242,0
1243,1
1244,0
1245,1
1246,1
1247,0
1248,1
1249,1
1250,1
1251,1
1252,1
1253,0
1254,0
1255,0
1256,0
1257,0
1258,1
1259,1
1260,1
1261,1
1262,1
1263,0
1264,1
1265,0
1266,1
1267,0
1268,0
1269,0
1270,1
1271,1
1272,1
1273,0
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,0
1281,1
1282,1
1283,1
1284,1
1285,0
1286,1
1287,0
1288,1
1289,1
1290,0
1291,0
1292,1
1293,1
1294,0
1295,1
1296,0
1297,1
1298,1
1299,0
1300,0
1301,0
1302,0
1303,1
1304,0
1305,1
1306,1
1307,0
1308,0
1309,1
1310,0
1311,1
1312,0
1313,0
1314,0
1315,1
1316,1
1317,1
1318,0
1319,0
1320,1
1321,1
1322,1
1323,0
1324,1
1325,0
1326,0
1327,0
1328,1
1329,1
1330,0
1331,0
1332,0
1333,0
1334,0
1335,1
1336,1
1337,0
1338,0
1339,1
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,1
1347,1
1348,1
1349,0
1350,1
1351,1
1352,1
1353,0
1354,1
1355,0
1356,0
1357,1
1358,1
1359,1
1360,0
1361,0
1362,1
1363,0
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,0
1373,0
1374,0
1375,0
1376,0
1377,1
1378,0
1379,1
1380,1
1381,1
1382,1
1383,0
1384,0
1385,1
1386,0
1387,1
1388,0
1389,1
1390,1
1391,1
1392,0
1393,0
1394,1
1395,1
1396,1
1397,0
1398,1
1399,1
1400,1
1401,1
1402,0
1403,1
1404,1
1405,1
1406,0
1407,1
1408,1
1409,0
1410,0
1411,1
1412,0
1413,0
1414,0
1415,0
1416,0
1417,1
1418,0
1419,1
1420,1
1421,0
1422,0
1423,0
1424,0
1425,1
1426,1
1427,0
1428,1
1429,0
1430,1
1431,0
1432,0
1433,1
1434,1
1435,1
1436,0
1437,1
1438,0
1439,1
1440,0
1441,1
1442,1
1443,1
1444,0
1445,0
1446,1
1447,0
1448,1
1449,0
1450,0
1451,1
1452,0
1453,0
1454,0
1455,0
1456,0
1457,1
1458,1
1459,0
1460,0
1461,0
1462,1
1463,0
1464,0
1465,1
1466,0
1467,1
1468,0
1469,1
1470,1
1471,0
1472,1
1473,1
1474,1
1475,1
1476,0
1477,0
1478,0
1479,0
1480,0
1481,1
1482,1
1483,1
1484,1
1485,0
1486,1
1487,1
1488,1
1489,1
1490,1
1491,1
1492,0
1493,0
1494,0
1495,0
1496,1
1497,1
1498,1
1499,0
1500,0
1501,1
1502,1
1503,0
1504,1
1505,1
1506,0
1507,1
1508,1
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,0
1516,1
1517,1
1518,0
1519,1
1520,1
1521,1
1522,0
1523,0
1524,1
1525,1
1526,0
1527,0
1528,1
1529,0
1530,1
1531,1
1532,1
1533,1
1534,1
1535,1
1536,1
1537,1
1538,0
1539,1
1540,0
1541,1
1542,0
1543,0
1544,1
1545,0
1546,0
1547,1
1548,1
1549,0
1550,1
1551,0
1552,1
1553,1
1554,1
1555,1
1556,0
1557,1
1558,1
1559,0
1560,0
1561,1
1562,0
1563,0
1564,0
1565,1
1566,1
1567,0
1568,1
1569,0
1570,0
1571,0
1572,1
1573,1
1574,0
1575,0
1576,1
1577,1
1578,0
1579,0
1580,0
1581,1
1582,0
1583,0
1584,1
1585,0
1586,1
1587,1
1588,1
1589,0
1590,1
1591,0
1592,1
1593,1
1594,0
1595,1
1596,1
1597,0
1598,0
1599,1
1600,0
1601,0
1602,1
1603,1
1604,0
1605,1
1606,0
1607,1
1608,0
1609,1
1610,1
1611,0
1612,0
1613,1
1614,0
1615,1
1616,1
1617,1
1618,1
1619,0
1620,1
1621,0
1622,0
1623,1
1624,1
1625,0
1626,1
1627,1
1628,0
1629,1
1630,1
1631,1
1632,1
1633,1
1634,0
1635,1
1636,1
1637,0
1638,1
1639,1
1640,1
1641,0
1642,0
1643,1
1644,1
1645,1
1646,1
1647,1
1648,0
1649,1
1650,1
1651,1
1652,1
1653,0
1654,0
1655,1
1656,0
1657,0
1658,1
1659,0
1660,1
1661,0
1662,0
1663,1
1664,1
1665,1
1666,1
1667,1
1668,1
1669,0
1670,0
1671,0
1672,1
1673,1
1674,1
1675,1
1676,0
1677,0
1678,0
1679,1
1680,1
1681,1
1682,0
1683,1
1684,1
1685,1
1686,0
1687,0
1688,1
1689,0
1690,0
1691,1
1692,0
1693,1
1694,0
1695,1
1696,1
1697,0
1698,0
1699,1
1700,0
1701,0
1702,0
1703,1
1704,1
1705,0
1706,1
1707,1
1708,1
1709,1
1710,0
1711,1
1712,1
1713,0
1714,0
1715,1
1716,1
1717,0
1718,0
1719,1
1720,0
1721,1
1722,0
1723,0
1724,1
1725,1
1726,1
1727,1
1728,1
1729,0
1730,1
1731,0
1732,0
1733,0
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,0
1742,1
1743,1
1744,1
1745,0
1746,0
1747,1
1748,1
1749,1
1750,1
1751,1
1752,0
1753,1
1754,0
1755,1
1756,0
1757,1
1758,1
1759,1
1760,1
1761,0
1762,1
1763,1
1764,1
1765,1
1766,1
1767,0
1768,1
1769,0
1770,1
1771,1
1772,1
1773,0
1774,1
1775,0
1776,0
1777,1
1778,0
1779,0
1780,0
1781,0
1782,1
1783,0
1784,0
1785,1
1786,1
1787,0
1788,0
1789,1
1790,1
1791,1
1792,1
1793,1
1794,0
1795,0
1796,1
1797,0
1798,1
1799,1
1800,1
1801,0
1802,0
1803,1
1804,1
1805,1
1806,1
1807,0
1808,0
1809,0
1810,0
1811,1
1812,1
1813,0
1814,0
1815,1
1816,0
1817,0
1818,0
1819,1
1820,0
1821,0
1822,1
1823,0
1824,1
1825,1
1826,1
1827,1
1828,0
1829,0
1830,1
1831,1
1832,1
1833,0
1834,1
1835,0
1836,0
1837,1
1838,0
1839,1
1840,1
1841,0
1842,0
1843,1
1844,0
1845,0
1846,1
1847,1
1848,1
1849,0
1850,0
1851,0
1852,0
1853,1
1854,1
1855,1
1856,1
1857,0
1858,1
1859,1
1860,0
1861,1
1862,1
1863,0
1864,1
1865,1
1866,0
1867,0
1868,1
1869,0
1870,1
1871,1
1872,0
1873,0
1874,1
1875,0
1876,1
1877,0
1878,1
1879,1
1880,1
1881,1
1882,0
1883,1
1884,0
1885,0
1886,0
1887,1
1888,0
1889,0
1890,1
1891,0
1892,1
1893,0
1894,0
1895,1
1896,1
1897,0
1898,1
1899,0
1900,0
1901,1
1902,0
1903,0
1904,1
1905,0
1906,1
1907,1
1908,0
1909,0
1910,0
1911,1
1912,1
1913,1
1914,1
1915,1
1916,0
1917,1
1918,1
1919,1
1920,0
1921,0
1922,1
1923,1
1924,1
1925,0
1926,0
1927,0
1928,1
1929,0
1930,1
1931,1
1932,0
1933,0
1934,1
1935,0
1936,0
1937,0
1938,1
1939,0
1940,0
1941,1
1942,1
1943,1
1944,0
1945,1
1946,1
1947,1
1948,0
1949,1
1950,1
1951,0
1952,1
1953,1
1954,1
1955,0
1956,0
1957,1
1958,0
1959,1
1960,1
1961,1
1962,1
1963,1
1964,1
1965,0
1966,1
1967,0
1968,0
1969,0
1970,0
1971,0
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,0
1979,1
1980,1
1981,1
1982,1
1983,1
1984,0
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1991,1
1992,1
1993,1
1994,0
1995,1
1996,1
1997,1
1998,1
1999,0
2000,1
2001,0
2002,0
2003,1
2004,1
2005,1
2006,1
2007,0
2008,1
2009,1
2010,1
2011,0
2012,1
2013,1
2014,1
2015,1
2016,1
2017,1
2018,0
2019,1
2020,1
2021,0
2022,0
2023,0
2024,0
2025,1
2026,0
2027,1
2028,1
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,0
2036,1
2037,1
2038,1
2039,1
2040,0
2041,1
2042,1
2043,1
2044,0
2045,1
2046,0
2047,1
2048,1
2049,1
2050,0
2051,0
2052,1
2053,1
2054,0
2055,0
2056,1
2057,1
2058,0
2059,0
2060,1
2061,0
2062,1
2063,0
2064,0
2065,1
2066,1
2067,1
2068,1
2069,0
2070,0
2071,1
2072,1
2073,1
2074,0
2075,0
2076,1
2077,1
2078,1
2079,1
2080,1
2081,0
2082,0
2083,1
2084,1
2085,1
2086,1
2087,1
2088,1
2089,1
2090,0
2091,1
2092,1
2093,1
2094,0
2095,1
2096,0
2097,0
2098,0
2099,0
2100,1
2101,1
2102,1
2103,0
2104,1
2105,1
2106,1
2107,1
2108,1
2109,1
2110,0
2111,1
2112,0
2113,0
2114,1
2115,1
2116,1
2117,0
2118,0
2119,1
2120,1
2121,1
2122,1
2123,0
2124,0
2125,0
2126,1
2127,0
2128,1
2129,0
2130,0
2131,1
2132,0
2133,0
2134,0
2135,0
2136,1
2137,0
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,0
2146,0
2147,1
2148,1
2149,1
2150,1
2151,0
2152,1
2153,1
2154,0
2155,0
2156,1
2157,0
2158,0
2159,0
2160,1
2161,1
2162,1
2163,0
2164,0
2165,1
2166,0
2167,1
2168,1
2169,0
2170,0
2171,1
2172,0
2173,1
2174,0
2175,0
2176,0
2177,0
2178,0
2179,1
2180,1
2181,1
2182,0
2183,1
2184,1
2185,1
2186,0
2187,1
2188,0
2189,0
2190,1
2191,1
2192,0
2193,0
2194,0
2195,1
2196,0
2197,1
2198,0
2199,0
2200,1
2201,1
2202,1
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,1
2211,0
2212,1
2213,1
2214,1
2215,1
2216,0
2217,0
2218,1
2219,1
2220,1
2221,1
2222,1
2223,0
2224,1
2225,1
2226,1
2227,0
2228,1
2229,1
2230,0
2231,1
2232,0
2233,1
2234,0
2235,1
2236,1
2237,0
2238,1
2239,1
2240,0
2241,0
2242,1
2243,1
2244,1
2245,1
2246,1
2247,0
2248,1
2249,0
2250,1
2251,0
2252,1
2253,1
2254,1
2255,1
2256,0
2257,0
2258,1
2259,1
2260,0
2261,0
2262,1
2263,0
2264,1
2265,0
2266,0
2267,1
2268,1
2269,0
2270,0
2271,1
2272,1
2273,1
2274,0
2275,1
2276,0
2277,1
2278,0
2279,0
2280,1
2281,1
2282,1
2283,0
2284,1
2285,0
2286,1
2287,1
2288,0
2289,0
2290,1
2291,1
2292,1
2293,0
2294,1
2295,1
2296,0
2297,1
2298,1
2299,0
2300,0
2301,0
2302,1
2303,1
2304,0
2305,1
2306,1
2307,0
2308,0
2309,1
2310,1
2311,0
2312,0
2313,0
2314,1
2315,0
2316,1
2317,1
2318,0
2319,0
2320,1
2321,0
2322,1
2323,1
2324,1
2325,0
2326,0
2327,1
2328,0
2329,1
2330,1
2331,1
2332,1
2333,0
2334,1
2335,0
2336,1
2337,1
2338,1
2339,0
2340,1
2341,1
2342,0
2343,0
2344,1
2345,1
2346,1
2347,1
2348,0
2349,0
2350,1
2351,0
2352,1
2353,1
2354,1
2355,0
2356,0
2357,1
2358,1
2359,1
2360,0
2361,0
2362,0
2363,1
2364,1
2365,0
2366,1
2367,0
2368,0
2369,0
2370,0
2371,0
2372,0
2373,0
2374,1
2375,0
2376,1
2377,0
2378,1
2379,1
2380,1
2381,0
2382,0
2383,0
2384,1
2385,0
2386,1
2387,1
2388,1
2389,1
2390,1
2391,0
2392,1
2393,1
2394,0
2395,1
2396,1
2397,0
2398,0
2399,1
2400,1
2401,0
2402,0
2403,0
2404,0
2405,1
2406,0
2407,1
2408,0
2409,0
2410,1
2411,1
2412,0
2413,0
2414,0
2415,0
2416,0
2417,1
2418,1
2419,1
2420,0
2421,1
2422,0
2423,1
2424,0
2425,1
2426,1
2427,0
2428,1
2429,1
2430,1
2431,0
2432,0
2433,1
2434,0
2435,1
2436,1
2437,1
2438,0
2439,0
2440,1
2441,0
2442,1
2443,1
2444,1
2445,1
2446,0
2447,0
2448,1
2449,0
2450,1
2451,1
2452,1
2453,1
2454,1
2455,0
2456,0
2457,1
2458,1
2459,0
2460,0
2461,1
2462,0
2463,1
2464,1
2465,1
2466,1
2467,1
2468,0
2469,1
2470,0
2471,0
2472,1
2473,1
2474,1
2475,0
2476,0
2477,1
2478,0
2479,0
2480,1
2481,1
2482,0
2483,1
2484,1
2485,1
2486,1
2487,0
2488,0
2489,1
2490,1
2491,0
2492,1
2493,1
2494,1
2495,0
2496,1
2497,1
2498,1
2499,0
2500,1
2501,1
2502,0
2503,1
2504,1
2505,0
2506,0
2507,1
2508,1
2509,1
2510,1
2511,1
2512,0
2513,0
2514,0
2515,1
2516,1
2517,0
2518,0
2519,1
2520,1
2521,1
2522,0
2523,0
2524,0
2525,0
2526,1
2527,1
2528,0
2529,0
2530,0
2531,1
2532,0
2533,0
2534,0
2535,0
2536,0
2537,0
2538,1
2539,1
2540,0
2541,0
2542,1
2543,1
2544,1
2545,1
2546,1
2547,0
2548,0
2549,1
2550,1
2551,1
2552,0
2553,0
2554,1
2555,0
2556,1
2557,0
2558,1
2559,0
2560,1
2561,1
2562,1
2563,1
2564,1
2565,1
2566,0
2567,0
2568,0
2569,1
2570,0
2571,0
2572,1
2573,1
2574,1
2575,1
2576,0
2577,1
2578,0
2579,1
2580,0
2581,0
2582,0
2583,1
2584,1
2585,1
2586,1
2587,1
2588,1
2589,0
2590,0
2591,0
2592,1
2593,1
2594,1
2595,1
2596,0
2597,1
2598,0
2599,0
2600,1
2601,1
2602,0
2603,1
2604,0
2605,1
2606,1
2607,1
2608,0
2609,1
2610,0
2611,0
2612,1
2613,0
2614,0
2615,1
2616,0
2617,0
2618,0
2619,0
2620,0
2621,0
2622,1
2623,0
2624,1
2625,0
2626,1
2627,1
2628,1
2629,1
2630,0
2631,1
2632,0
2633,0
2634,1
2635,1
2636,1
2637,0
2638,1
2639,1
2640,1
2641,0
2642,1
2643,0
2644,0
2645,1
2646,1
2647,1
2648,0
2649,1
2650,1
2651,0
2652,0
2653,0
2654,1
2655,0
2656,0
2657,1
2658,1
2659,0
2660,1
2661,1
2662,1
2663,0
2664,0
2665,1
2666,1
2667,0
2668,1
2669,1
2670,1
2671,0
2672,0
2673,1
2674,0
2675,1
2676,1
2677,1
2678,0
2679,1
2680,1
2681,0
2682,1
2683,0
2684,0
2685,1
2686,0
2687,1
2688,1
2689,1
2690,0
2691,1
2692,1
2693,1
2694,1
2695,0
2696,1
2697,0
2698,0
2699,0
2700,0
2701,0
2702,1
2703,1
2704,0
2705,1
2706,1
2707,1
2708,0
2709,0
2710,0
2711,1
2712,1
2713,0
2714,1
2715,0
2716,1
2717,1
2718,1
2719,1
2720,1
2721,1
2722,1
2723,0
2724,0
2725,1
2726,0
2727,0
2728,1
2729,0
2730,1
2731,1
2732,0
2733,0
2734,0
2735,1
2736,1
2737,1
2738,0
2739,0
2740,0
2741,1
2742,0
2743,1
2744,1
2745,0
2746,1
2747,1
2748,1
2749,1
2750,0
2751,0
2752,1
2753,1
2754,1
2755,0
2756,0
2757,0
2758,0
2759,1
2760,1
2761,1
2762,0
2763,0
2764,1
2765,1
2766,0
2767,0
2768,1
2769,1
2770,1
2771,0
2772,1
2773,1
2774,0
2775,0
2776,1
2777,1
2778,0
2779,1
2780,1
2781,1
2782,0
2783,1
2784,1
2785,0
2786,1
2787,1
2788,1
2789,0
2790,0
2791,0
2792,1
2793,0
2794,1
2795,1
2796,0
2797,1
2798,1
2799,1
2800,0
2801,1
2802,0
2803,0
2804,0
2805,0
2806,0
2807,1
2808,0
2809,1
2810,0
2811,0
2812,1
2813,1
2814,0
2815,1
2816,0
2817,1
2818,1
2819,1
2820,0
2821,1
2822,1
2823,1
2824,1
2825,1
2826,0
2827,0
2828,1
2829,0
2830,1
2831,1
2832,1
2833,0
2834,0
2835,1
2836,1
2837,1
2838,1
2839,1
2840,0
2841,1
2842,0
2843,1
2844,1
2845,1
2846,0
2847,1
2848,1
2849,0
2850,1
2851,0
2852,1
2853,0
2854,0
2855,1
2856,1
2857,0
2858,1
2859,1
2860,0
2861,0
2862,1
2863,1
2864,1
2865,1
2866,0
2867,0
2868,1
2869,1
2870,0
2871,1
2872,1
2873,1
2874,0
2875,1
2876,0
2877,1
2878,1
2879,0
2880,1
2881,0
2882,0
2883,1
2884,1
2885,1
2886,0
2887,0
2888,0
2889,1
2890,0
2891,0
2892,1
2893,1
2894,0
2895,0
2896,1
2897,1
2898,0
2899,1
2900,1
2901,0
2902,0
2903,0
2904,1
2905,1
2906,0
2907,0
2908,1
2909,0
2910,0
2911,1
2912,1
2913,1
2914,1
2915,1
2916,0
2917,0
2918,1
2919,0
2920,1
2921,1
2922,0
2923,0
2924,1
2925,0
2926,1
2927,1
2928,1
2929,1
2930,1
2931,0
2932,1
2933,1
2934,1
2935,1
2936,1
2937,1
2938,0
2939,1
2940,0
2941,0
2942,0
2943,1
2944,1
2945,1
2946,1
2947,0
2948,1
2949,0
2950,0
2951,0
2952,1
2953,0
2954,0
2955,0
2956,0
2957,0
2958,0
2959,1
2960,0
2961,1
2962,0
2963,1
2964,1
2965,1
2966,0
2967,0
2968,1
2969,0
2970,1
2971,0
2972,0
2973,1
2974,0
2975,0
2976,1
2977,0
2978,1
2979,1
2980,1
2981,0
2982,0
2983,0
2984,0
2985,0
2986,1
2987,1
2988,1
2989,1
2990,1
2991,0
2992,0
2993,1
2994,1
2995,1
2996,0
2997,1
